term_id,term,ontology,num_in_feature_set,num_in_ref_genome,raw_p_value,adjusted_p_value
GO:0006891,intra-Golgi vesicle-mediated transport,P,1,9,0.102,0.444
GO:0019001,guanyl nucleotide binding,F,6,591,0.701,1
GO:0003747,translation release factor activity,F,1,32,0.317,0.732
GO:0004348,glucosylceramidase activity,F,1,15,0.163,0.54
GO:0006665,sphingolipid metabolic process,P,1,19,0.202,0.616
GO:0006631,fatty acid metabolic process,P,1,174,0.874,1
GO:0003678,DNA helicase activity,F,3,134,0.212,0.64
GO:0016817,"hydrolase activity, acting on acid anhydrides",F,33,1307,4.45e-05,0.0017
GO:0016874,ligase activity,F,3,378,0.826,1
GO:0044237,cellular metabolic process,P,71,9825,1,1
GO:0006364,rRNA processing,P,3,73,0.0557,0.361
GO:0008144,drug binding,F,1,3,0.0351,0.274
GO:0046907,intracellular transport,P,8,570,0.362,0.778
GO:0016579,protein deubiquitination,P,2,49,0.114,0.458
GO:0036459,thiol-dependent ubiquitinyl hydrolase activity,F,2,67,0.188,0.591
GO:0004527,exonuclease activity,F,2,79,0.24,0.654
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",F,1,128,0.782,1
GO:0006338,chromatin remodeling,P,1,33,0.325,0.74
GO:0006368,transcription elongation from RNA polymerase II promoter,P,1,11,0.123,0.475
GO:0016570,histone modification,P,3,117,0.161,0.54
GO:0016593,Cdc73/Paf1 complex,C,1,13,0.143,0.513
GO:0032784,"regulation of DNA-templated transcription, elongation",P,2,10,0.0059,0.15
GO:0008237,metallopeptidase activity,F,3,130,0.2,0.616
GO:0005694,chromosome,C,1,55,0.48,0.909
GO:0006259,DNA metabolic process,P,8,649,0.502,0.917
GO:0006298,mismatch repair,P,1,46,0.422,0.847
GO:0030983,mismatched DNA binding,F,1,39,0.371,0.791
GO:0045910,negative regulation of DNA recombination,P,1,5,0.0578,0.367
GO:0008081,phosphoric diester hydrolase activity,F,2,75,0.222,0.651
GO:0008889,glycerophosphodiester phosphodiesterase activity,F,2,26,0.0376,0.28
GO:0003682,chromatin binding,F,1,80,0.614,1
GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",F,1,49,0.442,0.87
GO:0003980,UDP-glucose:glycoprotein glucosyltransferase activity,F,1,4,0.0465,0.315
GO:0019538,protein metabolic process,P,32,6190,1,1
GO:0009059,macromolecule biosynthetic process,P,16,1617,0.8,1
GO:0006644,phospholipid metabolic process,P,1,239,0.942,1
GO:0032502,developmental process,P,1,203,0.911,1
GO:0016070,RNA metabolic process,P,26,1401,0.0169,0.197
GO:0051028,mRNA transport,P,1,4,0.0465,0.315
GO:0051276,chromosome organization,P,3,100,0.116,0.459
GO:0015631,tubulin binding,F,13,280,3.41e-05,0.00149
GO:0003916,DNA topoisomerase activity,F,3,36,0.00879,0.179
GO:0003917,DNA topoisomerase type I activity,F,1,15,0.163,0.54
GO:0006265,DNA topological change,P,3,36,0.00879,0.179
GO:0006461,protein complex assembly,P,1,156,0.844,1
GO:0006826,iron ion transport,P,1,28,0.283,0.702
GO:0006879,cellular iron ion homeostasis,P,1,12,0.133,0.495
GO:0008199,ferric iron binding,F,1,14,0.153,0.536
GO:0006537,glutamate biosynthetic process,P,1,9,0.102,0.444
GO:0015930,glutamate synthase activity,F,1,9,0.102,0.444
GO:0016638,"oxidoreductase activity, acting on the CH-NH2 group of donors",F,1,43,0.401,0.821
GO:0008061,chitin binding,F,2,16,0.015,0.197
GO:0006555,methionine metabolic process,P,1,23,0.239,0.654
GO:0030532,small nuclear ribonucleoprotein complex,C,1,37,0.356,0.776
GO:0008381,mechanically-gated ion channel activity,F,1,4,0.0465,0.315
GO:0006974,cellular response to DNA damage stimulus,P,4,445,0.773,1
GO:0003729,mRNA binding,F,1,17,0.183,0.581
GO:0005685,U1 snRNP,C,1,15,0.163,0.54
GO:0006376,mRNA splice site selection,P,1,13,0.143,0.513
GO:0009086,methionine biosynthetic process,P,1,17,0.183,0.581
GO:0031491,nucleosome binding,F,1,7,0.0799,0.399
GO:0043044,ATP-dependent chromatin remodeling,P,1,10,0.112,0.458
GO:0048037,cofactor binding,F,1,864,1,1
GO:0003918,DNA topoisomerase type II (ATP-hydrolyzing) activity,F,3,25,0.00312,0.0865
GO:0080019,fatty-acyl-CoA reductase (alcohol-forming) activity,F,1,32,0.317,0.732
GO:0016879,"ligase activity, forming carbon-nitrogen bonds",F,1,165,0.86,1
GO:0031167,rRNA methylation,P,1,8,0.0908,0.42
GO:0008184,glycogen phosphorylase activity,F,1,4,0.0465,0.315
GO:0004820,glycine-tRNA ligase activity,F,1,2,0.0235,0.224
GO:0006426,glycyl-tRNA aminoacylation,P,1,2,0.0235,0.224
GO:0006605,protein targeting,P,2,60,0.158,0.54
GO:0043141,ATP-dependent 5'-3' DNA helicase activity,F,1,6,0.0689,0.389
GO:0030154,cell differentiation,P,1,3,0.0351,0.274
GO:0042761,very long-chain fatty acid biosynthetic process,P,1,3,0.0351,0.274
GO:0048513,animal organ development,P,1,6,0.0689,0.389
GO:0052689,carboxylic ester hydrolase activity,F,1,211,0.919,1
GO:0032968,positive regulation of transcription elongation from RNA polymerase II promoter,P,1,3,0.0351,0.274
GO:0006725,cellular aromatic compound metabolic process,P,33,2867,0.59,1
GO:0005085,guanyl-nucleotide exchange factor activity,F,1,67,0.55,0.953
GO:0051716,cellular response to stimulus,P,4,487,0.829,1
GO:0042623,"ATPase activity, coupled",F,7,336,0.106,0.449
GO:0044238,primary metabolic process,P,78,11297,1,1
GO:0048208,COPII vesicle coating,P,1,7,0.0799,0.399
GO:0043231,intracellular membrane-bounded organelle,C,12,1865,0.994,1
GO:0009966,regulation of signal transduction,P,1,30,0.3,0.72
GO:0019509,L-methionine biosynthetic process from methylthioadenosine,P,1,7,0.0799,0.399
GO:0006491,N-glycan processing,P,1,2,0.0235,0.224
GO:0000042,protein targeting to Golgi,P,1,3,0.0351,0.274
GO:0001882,nucleoside binding,F,73,4837,0.0174,0.197
GO:0009521,photosystem,C,1,124,0.772,1
